theme,url,img,lines,author
FREEDOM,/inspirational-quotes/8441-everyone-has-a-right-to-peaceful-coexistence,https://assets.passiton.com/quotes/quote_artwork/8441/medium/20250703_thursday_quote.jpg,Everyone,has
FREEDOM,/inspirational-quotes/8385-true-patriotism-springs-from-a-belief-in-the,https://assets.passiton.com/quotes/quote_artwork/8385/medium/20250702_wednesday_quote.jpg,True,patriotism
FREEDOM,/inspirational-quotes/7776-may-we-think-of-freedom-not-as-the-right-to-do,https://assets.passiton.com/quotes/quote_artwork/7776/medium/20250701_tuesday_quote.jpg,May,we
FREEDOM,/inspirational-quotes/7319-freedom-is-not-the-absence-of-commitments-but,https://assets.passiton.com/quotes/quote_artwork/7319/medium/20250630_monday_quote.jpg,Freedom,is
CHANGE,/inspirational-quotes/6862-education-is-the-most-powerful-weapon-which-you,https://assets.passiton.com/quotes/quote_artwork/6862/medium/20250627_friday_quote.jpg,Education,is
CHANGE,/inspirational-quotes/6427-when-we-are-no-longer-able-to-change-a,https://assets.passiton.com/quotes/quote_artwork/6427/medium/20250626_thursday_quote.jpg,When,we
CHANGE,/inspirational-quotes/8404-a-bend-in-the-road-is-not-the-end-of-the-road,https://assets.passiton.com/quotes/quote_artwork/8404/medium/20250625_wednesday_quote.jpg,A,bend
CHANGE,/inspirational-quotes/6506-yesterday-i-was-clever-so-i-wanted-to-change,https://assets.passiton.com/quotes/quote_artwork/6506/medium/20250624_tuesday_quote.jpg,Yesterday,I
CHANGE,/inspirational-quotes/8406-we-all-have-big-changes-in-our-lives-that-are,https://assets.passiton.com/quotes/quote_artwork/8406/medium/20250623_monday_quote.jpg,We,all
BELIEVE IN YOURSELF,/inspirational-quotes/8359-believe-in-yourself-and-go-for-it,https://assets.passiton.com/quotes/quote_artwork/8359/medium/20250620_friday_quote.jpg,Believe,in
BELIEVE IN YOURSELF,/inspirational-quotes/7963-your-self-worth-is-determined-by-you-you-don-t,https://assets.passiton.com/quotes/quote_artwork/7963/medium/20250619_thursday_quote.jpg,Your,self-worth
BELIEVE IN YOURSELF,/inspirational-quotes/8271-magic-is-believing-in-yourself-if-you-can-do,https://assets.passiton.com/quotes/quote_artwork/8271/medium/20250618_wednesday_quote.jpg,Magic,is
BELIEVE IN YOURSELF,/inspirational-quotes/6966-it-is-our-privilege-and-our-adventure-to,https://assets.passiton.com/quotes/quote_artwork/6966/medium/20250617_tuesday_quote.jpg,It,is
BELIEVE IN YOURSELF,/inspirational-quotes/4915-you-are-braver-than-you-believe-smarter-than,https://assets.passiton.com/quotes/quote_artwork/4915/medium/20250616_monday_quote.jpg,You,are
JOY,/inspirational-quotes/8446-my-father-gave-me-the-greatest-gift-anyone,https://assets.passiton.com/quotes/quote_artwork/8446/medium/20250613_friday_quote_.jpg,My,father
JOY,/inspirational-quotes/8024-let-your-joy-be-in-your-journey-not-in-some,https://assets.passiton.com/quotes/quote_artwork/8024/medium/20250612_thursday_quote.jpg,Let,your
JOY,/inspirational-quotes/7330-comparison-is-the-thief-of-joy,https://assets.passiton.com/quotes/quote_artwork/7330/medium/20250611_wednesday_quote.jpg,Comparison,is
JOY,/inspirational-quotes/7482-joy-is-a-decision-a-really-brave-one-about,https://assets.passiton.com/quotes/quote_artwork/7482/medium/20250610_tuesday_quote.jpg,Joy,is
JOY,/inspirational-quotes/8321-joy-blooms-where-minds-and-hearts-are-open,https://assets.passiton.com/quotes/quote_artwork/8321/medium/20250609_monday_quote_.jpg,Joy,blooms
DISCOVERY,/inspirational-quotes/7352-the-real-voyage-of-discovery-consists-of-not-in,https://assets.passiton.com/quotes/quote_artwork/7352/medium/20250606_friday.jpg,The,real
DISCOVERY,/inspirational-quotes/8340-there-are-always-new-things-to-find-out-if-you,https://assets.passiton.com/quotes/quote_artwork/8340/medium/20250605_thursday.jpg,There,are
DISCOVERY,/inspirational-quotes/8409-by-mutual-confidence-and-mutual-aid-great-deeds,https://assets.passiton.com/quotes/quote_artwork/8409/medium/20250604_wednesday.jpg,By,mutual
DISCOVERY,/inspirational-quotes/7381-discovery-is-seeing-what-everybody-else-has,https://assets.passiton.com/quotes/quote_artwork/7381/medium/20250603_tuesday.jpg,Discovery,is
DISCOVERY,/inspirational-quotes/6823-you-have-to-leave-the-city-of-your-comfort-and,https://assets.passiton.com/quotes/quote_artwork/6823/medium/20250602_monday.jpg,You,have
GET OUTSIDE,/inspirational-quotes/7928-the-world-is-incomprehensibly-beautiful-an,https://assets.passiton.com/quotes/quote_artwork/7928/medium/20250530_friday_quote.jpg,The,world
GET OUTSIDE,/inspirational-quotes/8131-nature-brings-solace-in-all-troubles,https://assets.passiton.com/quotes/quote_artwork/8131/medium/20250529_thursday_quote.jpg,Nature,brings
GET OUTSIDE,/inspirational-quotes/8380-the-wilderness-holds-answers-to-questions-we,https://assets.passiton.com/quotes/quote_artwork/8380/medium/20250528_wednesday_quote.jpg,The,wilderness
GET OUTSIDE,/inspirational-quotes/8226-an-early-morning-walk-is-a-blessing-for-the,https://assets.passiton.com/quotes/quote_artwork/8226/medium/20250527_tuesday_quote.jpg,An,early
GET OUTSIDE,/inspirational-quotes/8224-of-all-the-paths-you-take-in-life-make-sure-a,https://assets.passiton.com/quotes/quote_artwork/8224/medium/20250526_monday_quote.jpg,Of,all
LAUGHTER,/inspirational-quotes/7462-the-most-wasted-of-all-days-is-one-without,https://assets.passiton.com/quotes/quote_artwork/7462/medium/20250523_friday_quote.jpg,The,most
LAUGHTER,/inspirational-quotes/3137-laughter-is-the-shortest-distance-between-two,https://assets.passiton.com/quotes/quote_artwork/3137/medium/20250522_thursday_quote.jpg,Laughter,is
LAUGHTER,/inspirational-quotes/6344-may-your-walls-know-joy-may-every-room-hold,https://assets.passiton.com/quotes/quote_artwork/6344/medium/20250521_wednesday_quote.jpg,May,your
LAUGHTER,/inspirational-quotes/8245-laughter-is-proof-of-hope,https://assets.passiton.com/quotes/quote_artwork/8245/medium/20250520_tuesday_quote.jpg,Laughter,is
